epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.498,3.44442,3.956,4.24687,0.00386,0.21982,0.0412,0.01146,3.40609,3.98742,4.15004,0.0003375,0.0003375,0.0003375
2,331.814,3.35357,3.53432,4.04215,0.00362,0.22417,0.09249,0.04197,3.35956,3.84636,4.06107,0.000680694,0.000680694,0.000680694
3,487.548,3.18146,3.2552,3.71919,0.00384,0.23772,0.02221,0.00717,3.44486,3.76731,3.92806,0.00101696,0.00101696,0.00101696
4,639.696,2.97577,3.12618,3.44653,0.52477,0.04101,0.01428,0.00387,3.20247,4.15595,3.91345,0.00121287,0.00121287,0.00121287
5,795.54,2.81789,2.99463,3.25535,0.87403,0.11739,0.16014,0.05157,2.81407,4.40395,3.24496,0.0012005,0.0012005,0.0012005
6,950.454,2.68899,2.86597,3.10015,0.82297,0.11087,0.08374,0.02508,2.71951,4.35767,3.05367,0.00118812,0.00118812,0.00118812
7,1108.4,2.52995,2.78059,2.97768,0.64444,0.10708,0.13925,0.05788,2.52724,3.42121,2.88253,0.00117575,0.00117575,0.00117575
8,1259.21,2.39068,2.66588,2.83702,0.8635,0.12474,0.1697,0.06365,2.35771,3.30853,2.77413,0.00116337,0.00116337,0.00116337
9,1415.4,2.32585,2.55108,2.7399,0.19293,0.24482,0.17976,0.05953,2.26434,2.91619,2.67005,0.001151,0.001151,0.001151
10,1570.8,2.18408,2.42891,2.62425,0.51689,0.20909,0.23693,0.10233,2.18246,2.73636,2.6036,0.00113863,0.00113863,0.00113863
11,1727.53,2.14552,2.35066,2.57439,0.72579,0.294,0.28281,0.14244,2.00151,2.66502,2.52566,0.00112625,0.00112625,0.00112625
12,1878.14,2.05862,2.29351,2.51457,0.25871,0.31292,0.27726,0.11064,2.12794,2.43414,2.58782,0.00111388,0.00111388,0.00111388
13,2033.47,1.95703,2.14065,2.37425,0.40087,0.35984,0.37321,0.18931,1.88479,2.19181,2.35394,0.0011015,0.0011015,0.0011015
14,2187.98,1.90343,2.07358,2.35249,0.7843,0.29173,0.34092,0.17775,1.85657,2.30997,2.30371,0.00108913,0.00108913,0.00108913
15,2342.77,1.82612,1.98786,2.28462,0.48559,0.40097,0.39907,0.19091,1.9058,2.02154,2.38014,0.00107675,0.00107675,0.00107675
16,2495.52,1.79445,1.91483,2.23199,0.74932,0.35584,0.43488,0.22905,1.75305,2.06196,2.22242,0.00106437,0.00106437,0.00106437
17,2648.84,1.75693,1.85852,2.19141,0.49457,0.4674,0.47233,0.2598,1.68091,1.8868,2.16515,0.001052,0.001052,0.001052
18,2804.15,1.67952,1.78753,2.15486,0.59171,0.43293,0.46264,0.26598,1.72718,1.88045,2.17584,0.00103962,0.00103962,0.00103962
19,2960.45,1.65983,1.7089,2.09882,0.69594,0.41878,0.45691,0.26752,1.68607,1.8201,2.14705,0.00102725,0.00102725,0.00102725
20,3115.35,1.58568,1.65286,2.03199,0.59016,0.52753,0.52886,0.30504,1.56754,1.71382,2.023,0.00101488,0.00101488,0.00101488
21,3260.65,1.58377,1.63703,2.01456,0.72512,0.51182,0.55077,0.32629,1.56268,1.56501,1.99585,0.0010025,0.0010025,0.0010025
22,3417.73,1.55791,1.59879,2.00645,0.6494,0.50226,0.53148,0.31094,1.56193,1.64584,2.00102,0.000990125,0.000990125,0.000990125
23,3569.56,1.51381,1.546,1.95158,0.51594,0.4867,0.48711,0.29195,1.62886,1.67908,2.004,0.00097775,0.00097775,0.00097775
24,3725.17,1.52068,1.57841,1.97442,0.6231,0.54626,0.5592,0.33876,1.43697,1.49728,1.85618,0.000965375,0.000965375,0.000965375
25,3875.69,1.48256,1.51827,1.92481,0.56563,0.49407,0.52108,0.29617,1.54593,1.6524,1.95475,0.000953,0.000953,0.000953
26,4027.85,1.44601,1.46395,1.90469,0.72711,0.54963,0.59109,0.35102,1.45954,1.45232,1.89725,0.000940625,0.000940625,0.000940625
27,4181.75,1.43715,1.48834,1.88147,0.81308,0.516,0.59092,0.3525,1.46749,1.46045,1.85613,0.00092825,0.00092825,0.00092825
28,4337.02,1.41682,1.4466,1.85502,0.63942,0.55871,0.60298,0.36044,1.46505,1.40218,1.86858,0.000915875,0.000915875,0.000915875
29,4493.45,1.41307,1.40819,1.82858,0.67214,0.5617,0.59815,0.35493,1.44649,1.38213,1.84326,0.0009035,0.0009035,0.0009035
30,4639.09,1.38866,1.40268,1.80197,0.73223,0.59516,0.62457,0.37829,1.44768,1.33223,1.83376,0.000891125,0.000891125,0.000891125
31,4793.48,1.40896,1.41345,1.8173,0.71812,0.56399,0.62019,0.38832,1.33961,1.31267,1.74341,0.00087875,0.00087875,0.00087875
32,4945.37,1.35412,1.32561,1.79071,0.69414,0.56696,0.61645,0.38236,1.39005,1.30618,1.79048,0.000866375,0.000866375,0.000866375
33,5100.53,1.37659,1.34136,1.77085,0.72075,0.57744,0.63514,0.37885,1.41314,1.33088,1.77452,0.000854,0.000854,0.000854
34,5253.32,1.3251,1.29059,1.74445,0.71862,0.62255,0.66151,0.40147,1.34256,1.20993,1.72152,0.000841625,0.000841625,0.000841625
35,5406.17,1.3318,1.27229,1.73788,0.74301,0.58242,0.65545,0.4021,1.32545,1.25103,1.71781,0.00082925,0.00082925,0.00082925
36,5561.93,1.31031,1.29504,1.73314,0.73579,0.60154,0.6379,0.39534,1.37295,1.25487,1.7425,0.000816875,0.000816875,0.000816875
37,5716.13,1.31995,1.29268,1.72202,0.74089,0.62329,0.6499,0.40005,1.36489,1.23471,1.76466,0.0008045,0.0008045,0.0008045
38,5871.17,1.30285,1.273,1.70413,0.74594,0.59369,0.64792,0.38123,1.36319,1.26091,1.72896,0.000792125,0.000792125,0.000792125
39,6020.12,1.25784,1.23707,1.6911,0.72247,0.64806,0.68699,0.43104,1.32819,1.17292,1.70124,0.00077975,0.00077975,0.00077975
40,6175.98,1.29234,1.23123,1.69042,0.69805,0.57472,0.63892,0.38007,1.3847,1.29142,1.76568,0.000767375,0.000767375,0.000767375
41,6328.77,1.26234,1.18638,1.67125,0.70912,0.62963,0.65208,0.40246,1.32418,1.17844,1.69239,0.000755,0.000755,0.000755
42,6484.32,1.25257,1.21425,1.65303,0.81805,0.60801,0.6984,0.4465,1.25317,1.10812,1.64019,0.000742625,0.000742625,0.000742625
43,6636.32,1.27451,1.23647,1.67277,0.81895,0.62926,0.69909,0.43889,1.26907,1.15563,1.65795,0.00073025,0.00073025,0.00073025
44,6789.58,1.24586,1.16242,1.64878,0.79273,0.68577,0.71552,0.44216,1.27347,1.13991,1.65036,0.000717875,0.000717875,0.000717875
45,6944.72,1.25277,1.16377,1.65158,0.77214,0.62098,0.69744,0.4423,1.24484,1.1364,1.61441,0.0007055,0.0007055,0.0007055
46,7095.23,1.24407,1.16289,1.64215,0.77587,0.64532,0.70597,0.4421,1.25141,1.11768,1.62583,0.000693125,0.000693125,0.000693125
47,7250.85,1.22148,1.14237,1.62503,0.77547,0.60416,0.69358,0.43362,1.27212,1.13109,1.63053,0.00068075,0.00068075,0.00068075
48,7402.97,1.24167,1.13738,1.64207,0.72039,0.66971,0.70973,0.44891,1.23244,1.10491,1.61844,0.000668375,0.000668375,0.000668375
