epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.992,3.34912,3.80825,4.23371,0.00376,0.21982,0.02337,0.00711,3.40951,3.96891,4.14624,0.0003375,0.0003375,0.0003375
2,340.153,3.31652,3.45318,4.04176,0.00369,0.22417,0.09028,0.03471,3.40705,3.83271,4.0463,0.000680694,0.000680694,0.000680694
3,498.074,3.17103,3.11821,3.76229,0.00395,0.23772,0.02741,0.00951,3.41458,3.62544,3.68407,0.00101696,0.00101696,0.00101696
4,659.371,2.9726,3.05323,3.53353,0.54173,0.02913,0.02091,0.00658,3.13036,3.56235,3.56282,0.00121287,0.00121287,0.00121287
5,821.182,2.84873,2.97896,3.34587,0.59981,0.11786,0.07524,0.02681,2.8037,3.6709,3.18697,0.0012005,0.0012005,0.0012005
6,984.9,2.70515,2.8946,3.21594,0.87998,0.1087,0.15009,0.03702,2.86861,3.60476,3.14786,0.00118812,0.00118812,0.00118812
7,1144.97,2.57825,2.8779,3.10551,0.61666,0.15137,0.09444,0.03334,2.57791,3.31479,2.9761,0.00117575,0.00117575,0.00117575
8,1305.27,2.48336,2.79097,3.00068,0.60973,0.2126,0.0951,0.02766,2.50715,3.59726,2.88341,0.00116337,0.00116337,0.00116337
9,1472.16,2.38097,2.70749,2.90096,0.39619,0.2389,0.13666,0.05119,2.35489,3.15041,2.75608,0.001151,0.001151,0.001151
10,1633.07,2.26592,2.61835,2.8081,0.67012,0.18499,0.18716,0.08239,2.36495,2.98204,2.74487,0.00113863,0.00113863,0.00113863
11,1797.42,2.20424,2.55219,2.73662,0.43085,0.267,0.13199,0.05581,2.20877,3.70871,2.57274,0.00112625,0.00112625,0.00112625
12,1956.39,2.1296,2.47798,2.66798,0.68389,0.18977,0.17477,0.06785,2.27682,3.81659,2.67591,0.00111388,0.00111388,0.00111388
13,2117.75,2.12487,2.46861,2.62497,0.29151,0.20815,0.23647,0.09648,2.19956,3.13991,2.57084,0.0011015,0.0011015,0.0011015
